Issue ID,Product,Description,Status,Extraction Time
"['830502', '900096']",Tableau Bridge,"When publishing or accessing a Tableau Online view that used the TableauServerUser variable with Tableau Bridge, a ""Cannot evaluate user filter"" or ""Unable to connect to the server"" error occurred.  Request is to support impersonation with Tableau Bridge.",Open,2023-02-08 09:32:45
['1478458'],Tableau Bridge,The second refresh could fail with an OAuth token error when using a multi-connection Bridge that includes Google Drive.,Open,2023-02-08 09:32:45
['1395120'],"Tableau Desktop, 
                              Tableau Server","When publishing a data source from Tableau Desktop version 2022.2 or higher to a lower version of Tableau Server such as 2022.1, an error would occur stating, ""An error occurred when publishing the data source. Cannot publish to Tableau Server.  Please make sure you are connected to a compatible version of the server."" For more information please see this  Tableau Knowledge Base article.",Open,2023-02-08 09:32:45
['1420805'],Tableau Desktop,Row and column divider borders are thicker in the header than in the pane starting with version 2021.1.,Open,2023-02-08 09:32:45
['1440525'],"Tableau Cloud, 
                              Tableau Desktop",NULL values would remain in the Quick Filter when only NULL values are excluded in a dimension filter starting with 2022.2.0.,Open,2023-02-08 09:32:45
['1458909'],"Tableau Cloud, 
                              Tableau Desktop, 
                              Tableau Server","Queries of a virtual connection could be unsuccessful when included columns are renamed or removed from a database.  The workaround is to edit the virtual connection and replace or delete these columns, and then republish the virtual connection.",Open,2023-02-08 09:32:45
['1403071'],"Tableau Cloud, 
                              Tableau Desktop",Workbook utilizing a polygon map or territorial mapping has a hole or gap when published to Tableau Cloud or when opened in the latest version of Tableau Desktop.,Open,2023-02-08 09:32:45
['1224909'],Tableau Cloud,"When an alert is created on a MySQL data source, an error could result when using web authoring stating , ""Unable to create alert because there was an error connecting to the data source.""",Open,2023-02-08 09:32:45
['1127364'],"Tableau Cloud, 
                              Tableau Server","When an additional data source is added using web edit, there is no prompt for credentials.",Open,2023-02-08 09:32:45
"['1257638', '1276556']",Tableau Cloud,Page setup scaling options do not stay set when a workbook is download from Tableau Online 2021.1 via the user interface.,Open,2023-02-08 09:32:45
"['1392772', '1383768']",Tableau Cloud,Scheduled extract refreshes and subscriptions could be intermittently skipped.  No errors are presented when these jobs are not completed.,Open,2023-02-08 09:32:45
['1388839'],"Tableau Cloud, 
                              Tableau Server","In a project description when parenthesis are preceded by an upper case letter, the parenthesis and text within the parenthesis would not be displayed in the project tooltip.",Open,2023-02-08 09:32:45
['1369143'],Tableau Cloud,"On the Explore page list view for data sources, the last modified date could display an incorrect value.    The data source details page does have the correct last modified date.",Open,2023-02-08 09:32:45
['1357543'],Tableau Cloud,"When refreshing or connecting to Amazon Redshift in Tableau Online,  errors would sometimes display showing ""Error occurred while trying to prepare a query"" or ""[SQLState XX000] extraneous data in \""T\"" message.""   Amazon Redshift driver updated to 1.4.53.",Open,2023-02-08 09:32:45
['1352649'],Tableau Cloud,Okta SCIM could reset a user to a Viewer role when the name changed in Okta even when the site role was not configured to map to Tableau Online from Okta.,Open,2023-02-08 09:32:45
['1411816'],"Tableau Cloud, 
                              Tableau Server",The sort order of a calculated field could be changed or duplicated after replacing the published data source using the REST API.,Open,2023-02-08 09:32:45
['1425643'],Tableau Cloud,"When attempting to refresh a Google Analytics data source in Tableau Cloud, the refresh is sent to Tableau Bridge instead of connecting directly from Tableau Cloud.",Open,2023-02-08 09:32:45
['1439091'],Tableau Cloud,Virtual Connection updates are not reflected in related Data Sources.,Open,2023-02-08 09:32:45
['1441970'],"Tableau Cloud, 
                              Tableau Server","When loading a dashboard that contains a web object to a web page that has a text box, the cursor goes to the text box and the user is sent to the bottom of the dashboard on load instead of staying at the top of the dashboard causing the need to scroll up.",Open,2023-02-08 09:32:45
